ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length,final_state
1,0,0.012686767615377903,0.22259211540222168,-0.19597649574279785,0.012000000104308128,0.051316846162080765,0.05366479605436325,342,158,0.011999968439340591,0.00020065635908395052,0.012000031769275665,500,3
2,0,0.04194582253694534,0.24724960327148438,-0.03760719299316406,0.012000000104308128,0.04221125319600105,0.043519821017980576,180,320,0.011999883688986301,0.00027060278807766736,0.012000000104308128,500,3
3,1,0.10342879593372345,0.26598310470581055,-0.1863248348236084,0.012000000104308128,0.04352070018649101,0.04473421722650528,202,298,0.011999925598502159,0.0004039248451590538,0.012000016868114471,500,3
4,1,0.06748103350400925,0.20276713371276855,-0.11727166175842285,0.012000000104308128,0.04394432157278061,0.044697366654872894,202,298,0.011999926529824734,0.00022581742086913437,0.012000052258372307,500,3
5,0,0.04297366365790367,0.1394411325454712,-0.0198972225189209,0.012000000104308128,0.0439617857336998,0.04451523721218109,204,296,0.011999838054180145,0.0004934468306601048,0.01199994795024395,500,3
6,1,0.07164866477251053,0.11017012596130371,-0.09349918365478516,0.012000000104308128,0.04325687512755394,0.04421121999621391,192,308,0.011999864131212234,0.0004357841971796006,0.012000002898275852,500,3
7,1,0.06957066059112549,0.15522706508636475,-0.1162879467010498,0.012000000104308128,0.04381030052900314,0.04435497522354126,214,286,0.011999977752566338,0.00037703843554481864,0.012000033631920815,500,3
8,1,0.0603095218539238,0.2970377206802368,-0.012331008911132812,0.012000000104308128,0.04239101707935333,0.0434194877743721,186,314,0.012000017799437046,0.00015893638192210346,0.012000050395727158,500,3
9,1,0.054597608745098114,0.12183845043182373,0.0439763069152832,0.012000000104308128,0.044126782566308975,0.04468575492501259,204,296,0.011999945156276226,0.0002454278583172709,0.0120000084862113,500,3
10,1,0.07771675288677216,0.15081262588500977,-0.13331258296966553,0.012000000104308128,0.04366157576441765,0.044309381395578384,208,292,0.011999866925179958,0.0004451606364455074,0.011999998241662979,500,3
