ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length,final_state
1,0,0.014525052160024643,0.22259211540222168,-0.19597649574279785,0.012000000104308128,0.06616111099720001,nan,-1,0,nan,nan,nan,500,0
2,0,0.04194582253694534,0.24724960327148438,-0.03760719299316406,0.012000000104308128,0.07526969909667969,nan,-1,0,nan,nan,nan,500,1
3,1,0.10342879593372345,0.26598310470581055,-0.1863248348236084,0.012000000104308128,0.07810602337121964,nan,-1,0,nan,nan,nan,500,1
4,1,0.06748103350400925,0.20276713371276855,-0.11727166175842285,0.012000000104308128,0.07881872355937958,nan,-1,0,nan,nan,nan,500,1
5,0,0.04297366365790367,0.1394411325454712,-0.0198972225189209,0.012000000104308128,0.07821063697338104,nan,-1,0,nan,nan,nan,500,1
6,1,0.07164866477251053,0.11017012596130371,-0.09349918365478516,0.012000000104308128,0.07612639665603638,nan,-1,0,nan,nan,nan,500,1
7,1,0.06957066059112549,0.15522706508636475,-0.1162879467010498,0.012000000104308128,0.07839841395616531,nan,-1,0,nan,nan,nan,500,1
8,1,0.0603095218539238,0.2970377206802368,-0.012331008911132812,0.012000000104308128,0.07694803178310394,nan,-1,0,nan,nan,nan,500,1
9,1,0.054597608745098114,0.12183845043182373,0.0439763069152832,0.012000000104308128,0.07875137031078339,nan,-1,0,nan,nan,nan,500,1
10,1,0.07771675288677216,0.15081262588500977,-0.13331258296966553,0.012000000104308128,0.07773084193468094,nan,-1,0,nan,nan,nan,500,1
11,1,0.07925764471292496,0.18218326568603516,-0.1410151720046997,0.012000000104308128,0.07781817018985748,nan,-1,0,nan,nan,nan,500,1
12,0,0.04888713359832764,0.1961669921875,-0.07511234283447266,0.012000000104308128,0.07746316492557526,nan,-1,0,nan,nan,nan,500,1
13,1,0.09844335168600082,0.1539325714111328,-0.18157076835632324,0.012000000104308128,0.07879699021577835,nan,-1,0,nan,nan,nan,500,1
14,0,0.047969311475753784,0.22329258918762207,-0.06834793090820312,0.012000000104308128,0.07730146497488022,nan,-1,0,nan,nan,nan,500,1
15,1,0.06305846571922302,0.28116869926452637,-0.06834304332733154,0.012000000104308128,0.07681416720151901,nan,-1,0,nan,nan,nan,500,1
16,1,0.09285172820091248,0.25777649879455566,0.16650938987731934,0.012000000104308128,0.08059404045343399,nan,-1,0,nan,nan,nan,500,1
17,0,0.014428377151489258,0.15326905250549316,-0.16978788375854492,0.012000000104308128,0.07000817358493805,nan,-1,0,nan,nan,nan,500,1
18,0,0.018221916630864143,0.12362480163574219,-0.0969010591506958,0.012000000104308128,0.06747545301914215,nan,-1,0,nan,nan,nan,500,1
19,0,0.0225556418299675,0.17497706413269043,0.10888040065765381,0.012000000104308128,0.07359272986650467,nan,-1,0,nan,nan,nan,500,1
20,0,0.01911955699324608,0.12008047103881836,-0.05256009101867676,0.012000000104308128,0.11950521916151047,nan,-1,0,nan,nan,nan,500,0
21,0,0.01920210011303425,0.18953359127044678,0.08832526206970215,0.012000000104308128,0.07666485756635666,nan,-1,0,nan,nan,nan,500,1
22,0,0.01824060268700123,0.17283833026885986,-0.030564308166503906,0.012000000104308128,0.07873333245515823,nan,-1,0,nan,nan,nan,500,1
23,0,0.012000035494565964,0.2951472997665405,0.01063382625579834,0.012000000104308128,0.07813012599945068,nan,-1,0,nan,nan,nan,500,1
24,0,0.021015968173742294,0.15684497356414795,0.08582353591918945,0.012000000104308128,0.0783393457531929,nan,-1,0,nan,nan,nan,500,1
25,0,0.01756616123020649,0.10306048393249512,-0.037621498107910156,0.012000000104308128,0.08568639308214188,nan,-1,0,nan,nan,nan,500,0
26,0,0.014181351289153099,0.29536163806915283,-0.1659764051437378,0.012000000104308128,0.07770874351263046,nan,-1,0,nan,nan,nan,500,0
27,0,0.0182210523635149,0.228052020072937,0.06049919128417969,0.012000000104308128,0.08614735305309296,nan,-1,0,nan,nan,nan,500,0
28,0,0.01816577836871147,0.1700359582901001,-0.18383574485778809,0.012000000104308128,0.07353775203227997,nan,-1,0,nan,nan,nan,500,1
29,0,0.012000037357211113,0.27138376235961914,0.1905527114868164,0.012000000104308128,0.09000533819198608,nan,-1,0,nan,nan,nan,500,0
30,0,0.012000035494565964,0.18785953521728516,0.1879512071609497,0.012000000104308128,0.08110103011131287,nan,-1,0,nan,nan,nan,500,1
31,0,0.01822824962437153,0.21926093101501465,0.08688652515411377,0.012000000104308128,0.07544787228107452,nan,-1,0,nan,nan,nan,500,1
32,0,0.01278314646333456,0.2354724407196045,-0.057801008224487305,0.012000000104308128,0.07606516778469086,nan,-1,0,nan,nan,nan,500,1
33,0,0.012633906677365303,0.24727940559387207,-0.1401996612548828,0.012000000104308128,0.07056375592947006,nan,-1,0,nan,nan,nan,500,0
34,0,0.02070782519876957,0.24120807647705078,0.03643190860748291,0.012000000104308128,0.07882779836654663,nan,-1,0,nan,nan,nan,500,1
35,0,0.012008040212094784,0.26769542694091797,0.011974692344665527,0.012000000104308128,0.07617395371198654,nan,-1,0,nan,nan,nan,500,1
36,0,0.018657593056559563,0.16275882720947266,-0.17993497848510742,0.012000000104308128,0.07572981715202332,nan,-1,0,nan,nan,nan,500,1
37,1,0.05341695249080658,0.11308050155639648,0.04902505874633789,0.012000000104308128,0.08285051584243774,nan,-1,0,nan,nan,nan,500,0
38,0,0.02247222699224949,0.1535865068435669,0.14403307437896729,0.012000000104308128,0.0650000050663948,nan,-1,0,nan,nan,nan,500,1
39,1,0.1257438361644745,0.11919105052947998,0.1881505250930786,0.012000000104308128,0.07092119008302689,nan,-1,0,nan,nan,nan,500,1
40,0,0.019788604229688644,0.1510467529296875,-0.1235055923461914,0.012000000104308128,0.06581230461597443,nan,-1,0,nan,nan,nan,500,1
41,0,0.01831810362637043,0.1712878942489624,-0.09165310859680176,0.012000000104308128,0.07917626947164536,nan,-1,0,nan,nan,nan,500,1
42,0,0.015644676983356476,0.25710761547088623,-0.16068267822265625,0.012000000104308128,0.07192589342594147,nan,-1,0,nan,nan,nan,500,0
43,0,0.023048551753163338,0.1212918758392334,0.09677565097808838,0.012000000104308128,0.06829503923654556,nan,-1,0,nan,nan,nan,500,1
44,0,0.012390210293233395,0.21125459671020508,-0.022504568099975586,0.012000000104308128,0.07697208225727081,nan,-1,0,nan,nan,nan,500,1
45,1,0.18924368917942047,0.10089755058288574,-0.1822371482849121,0.012000000104308128,0.07849375903606415,nan,-1,0,nan,nan,nan,500,1
46,1,0.17309468984603882,0.10268807411193848,-0.16900134086608887,0.012000000104308128,0.07814501971006393,nan,-1,0,nan,nan,nan,500,1
47,0,0.01547811646014452,0.2711915969848633,-0.1660606861114502,0.012000000104308128,0.07198038697242737,nan,-1,0,nan,nan,nan,500,0
48,1,0.11423993110656738,0.16948390007019043,0.15547561645507812,0.012000000104308128,0.05926620960235596,nan,-1,0,nan,nan,nan,500,1
49,0,0.012572567909955978,0.107208251953125,-0.19166994094848633,0.012000000104308128,0.07083377987146378,nan,-1,0,nan,nan,nan,500,1
50,0,0.018230630084872246,0.27251148223876953,0.10095643997192383,0.012000000104308128,0.0845027044415474,nan,-1,0,nan,nan,nan,500,0
51,1,0.1021488681435585,0.10598897933959961,0.12496364116668701,0.012000000104308128,0.07336658984422684,nan,-1,0,nan,nan,nan,500,1
52,0,0.021425386890769005,0.1974480152130127,-0.17100930213928223,0.012000000104308128,0.06035652011632919,nan,-1,0,nan,nan,nan,500,0
53,0,0.01821105368435383,0.24875211715698242,-0.1331338882446289,0.012000000104308128,0.07786973565816879,nan,-1,0,nan,nan,nan,500,0
54,0,0.012612046673893929,0.15727150440216064,-0.08725440502166748,0.012000000104308128,0.07950121909379959,nan,-1,0,nan,nan,nan,500,1
55,0,0.012452228926122189,0.10964584350585938,0.19447124004364014,0.012000000104308128,0.0743279755115509,nan,-1,0,nan,nan,nan,500,1
56,0,0.01691022701561451,0.23848474025726318,0.06802964210510254,0.012000000104308128,0.07693606615066528,nan,-1,0,nan,nan,nan,500,1
57,1,0.0865623727440834,0.18603527545928955,0.06679272651672363,0.012000000104308128,0.08049096912145615,nan,-1,0,nan,nan,nan,500,1
58,0,0.018216842785477638,0.2979728579521179,0.13102316856384277,0.012000000104308128,0.08238428086042404,nan,-1,0,nan,nan,nan,500,0
59,0,0.0193394236266613,0.1407538652420044,0.1265571117401123,0.012000000104308128,0.06850119680166245,nan,-1,0,nan,nan,nan,500,1
