ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length,final_state
1,0,0.012686790898442268,0.22259199619293213,-0.19597649574279785,0.012000000104308128,0.08404020965099335,nan,-1,0,nan,nan,nan,500,1
2,0,0.04194572567939758,0.24724948406219482,-0.03760719299316406,0.012000000104308128,0.07522355020046234,nan,-1,0,nan,nan,nan,500,1
3,1,0.10342871397733688,0.26598286628723145,-0.1863248348236084,0.012000000104308128,0.0783720314502716,nan,-1,0,nan,nan,nan,500,1
4,1,0.0674808919429779,0.20276713371276855,-0.1172717809677124,0.012000000104308128,0.07780337333679199,nan,-1,0,nan,nan,nan,500,1
5,0,0.013048396445810795,0.1532689332962036,-0.16978788375854492,0.012000000104308128,0.07285691052675247,nan,-1,0,nan,nan,nan,500,1
6,0,0.018223976716399193,0.12362492084503174,-0.0969010591506958,0.012000000104308128,0.0678611770272255,nan,-1,0,nan,nan,nan,500,1
7,0,0.0228950846940279,0.17497718334197998,0.10888040065765381,0.012000000104308128,0.06731129437685013,nan,-1,0,nan,nan,nan,500,1
8,0,0.01933516561985016,0.12008035182952881,-0.05256009101867676,0.012000000104308128,0.11934897303581238,nan,-1,0,nan,nan,nan,500,0
9,0,0.012394344434142113,0.24727940559387207,-0.1401996612548828,0.012000000104308128,0.07166031748056412,nan,-1,0,nan,nan,nan,500,0
10,0,0.012558095157146454,0.24120819568634033,0.03643190860748291,0.012000000104308128,0.07544711232185364,nan,-1,0,nan,nan,nan,500,1
