ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length
1,0,0.012686767615377903,0.22259211540222168,-0.19597649574279785,0.012000000104308128,0.15944984555244446,nan,-1,0,nan,nan,nan,500
2,0,0.04194582253694534,0.24724960327148438,-0.03760719299316406,0.012000000104308128,0.12723125517368317,0.1835155487060547,410,2,0.01199993398040533,0.0002688436070457101,0.012000000104308128,500
3,1,0.10342879593372345,0.26598310470581055,-0.1863248348236084,0.012000000104308128,0.09390074759721756,nan,-1,0,nan,nan,nan,500
4,1,0.06748103350400925,0.20276713371276855,-0.11727166175842285,0.012000000104308128,0.0797615572810173,0.15942226350307465,136,4,0.011999959126114845,0.00022581742086913437,0.012000052258372307,500
5,0,0.04297366365790367,0.1394411325454712,-0.0198972225189209,0.012000000104308128,0.09792792052030563,0.14584146440029144,136,8,0.011999813839793205,0.0004934468306601048,0.01199994795024395,500
6,1,0.07164866477251053,0.11017012596130371,-0.09349918365478516,0.012000000104308128,0.10228724777698517,0.16561050713062286,136,6,0.011999955400824547,0.0004357841971796006,0.012000002898275852,500
7,1,0.06957066059112549,0.15522706508636475,-0.1162879467010498,0.012000000104308128,0.11395156383514404,nan,-1,0,nan,nan,nan,500
8,1,0.0603095218539238,0.2970377206802368,-0.012331008911132812,0.012000000104308128,0.11344952136278152,nan,-1,0,nan,nan,nan,500
9,1,0.054597608745098114,0.12183845043182373,0.0439763069152832,0.012000000104308128,0.10440250486135483,0.1446956992149353,170,18,0.011999971233308315,0.0002454278583172709,0.0120000084862113,500
10,1,0.07771675288677216,0.15081262588500977,-0.13331258296966553,0.012000000104308128,0.09417065978050232,0.15273365378379822,196,2,0.01199985109269619,0.0004451606364455074,0.011999998241662979,500
11,1,0.07925764471292496,0.18218326568603516,-0.1410151720046997,0.012000000104308128,0.10734362155199051,nan,-1,0,nan,nan,nan,500
12,0,0.04888713359832764,0.1961669921875,-0.07511234283447266,0.012000000104308128,0.1232762411236763,0.15671759843826294,284,6,0.011999940499663353,0.00021447257313411683,0.012000042013823986,500
13,1,0.09844335168600082,0.1539325714111328,-0.18157076835632324,0.012000000104308128,0.09635335206985474,nan,-1,0,nan,nan,nan,500
14,0,0.047969311475753784,0.22329258918762207,-0.06834793090820312,0.012000000104308128,0.12985147535800934,nan,-1,0,nan,nan,nan,500
15,1,0.06305846571922302,0.28116869926452637,-0.06834304332733154,0.012000000104308128,0.11207345128059387,0.17545416951179504,122,10,0.01199976447969675,0.00045960911666043103,0.01199981477111578,500
16,1,0.09285172820091248,0.25777649879455566,0.16650938987731934,0.012000000104308128,0.09127286076545715,0.17666365206241608,122,4,0.012000014074146748,0.00014755738084204495,0.0120000671595335,500
17,0,0.01262484211474657,0.15326905250549316,-0.16978788375854492,0.012000000104308128,0.07115308940410614,nan,-1,0,nan,nan,nan,500
18,0,0.012000035494565964,0.12362480163574219,-0.0969010591506958,0.012000000104308128,0.04209354147315025,0.12660421431064606,154,14,0.011999981477856636,0.0002041855186689645,0.012000033631920815,500
19,0,0.012000035494565964,0.17497706413269043,0.10888040065765381,0.012000000104308128,0.15931914746761322,0.17279861867427826,136,4,0.011999951675534248,0.0002041855186689645,0.012000033631920815,500
20,0,0.012000036425888538,0.12008047103881836,-0.05256009101867676,0.012000000104308128,0.1637996882200241,nan,-1,0,nan,nan,nan,500
21,0,0.012000038288533688,0.18953359127044678,0.08832526206970215,0.012000000104308128,0.16510653495788574,0.17624405026435852,232,8,0.012000028975307941,0.00019630225142464042,0.012000038288533688,500
22,0,0.012000036425888538,0.17283833026885986,-0.030564308166503906,0.012000000104308128,0.13850761950016022,nan,-1,0,nan,nan,nan,500
23,0,0.012000037357211113,0.2951472997665405,0.01063382625579834,0.012000000104308128,0.17220596969127655,nan,-1,0,nan,nan,nan,500
