step,phase,raw_grip_cmd,jpos_shoulder_pan,jpos_shoulder_lift,jpos_elbow_flex,jpos_wrist_flex,jpos_wrist_roll,jpos_gripper,jpos_left_proximal,jpos_right_proximal,jpos_left_distal,jpos_right_distal,jvel_shoulder_pan,jvel_shoulder_lift,jvel_elbow_flex,jvel_wrist_flex,jvel_wrist_roll,jvel_gripper,jvel_left_proximal,jvel_right_proximal,jvel_left_distal,jvel_right_distal,jtorque_shoulder_pan,jtorque_shoulder_lift,jtorque_elbow_flex,jtorque_wrist_flex,jtorque_wrist_roll,jtorque_gripper,jtorque_left_proximal,jtorque_right_proximal,jtorque_left_distal,jtorque_right_distal,tip_distance
0,close,-1.0,0.0,0.0,0.0,1.5700000524520874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.899999976158142,0.0,0.0,0.0,0.0,0.0,0.0,0.09088798612356186
1,close,-1.0,-2.5489334802841768e-06,0.002365660620853305,0.00016802539175841957,1.56999671459198,-1.0233899047307204e-05,-1.8291130762793095e-11,-0.03000004030764103,0.02096092328429222,0.030115889385342598,-0.021268682554364204,-3.1354006750916597e-06,0.003006296930834651,-0.0014033776242285967,-0.0001496621989645064,-7.846282096579671e-05,-1.8158746684093785e-07,-1.5000003576278687,1.4984666109085083,1.5000001192092896,-1.5016496181488037,-0.3289361596107483,-0.608193039894104,0.06288578361272812,-0.057132791727781296,-0.2991308569908142,0.0,-2.5,2.5,0.0,0.0,0.08895085006952286
2,close,-1.0,-2.6093298401974607e-06,0.004640745464712381,0.0003259689547121525,1.5699886083602905,-1.1667536455206573e-05,2.468009791759679e-13,-0.06000008061528206,0.05098141357302666,0.060221605002880096,-0.05176975578069687,-2.9537850423366763e-06,-0.0029972130432724953,-0.0018215766176581383,-0.00012247245467733592,-7.574392657261342e-05,-1.4855626773169206e-07,-1.5000008344650269,1.4985145330429077,1.5000005960464478,-1.5015960931777954,0.0007648466853424907,-0.5966939926147461,0.042997095733881,0.00467662513256073,0.0020971857011318207,0.0,-2.5,2.5,0.0,0.0,0.08664970099925995
3,close,-1.0,-2.669179593794979e-06,0.0067988233640789986,0.00047076301416382194,1.5699816942214966,-1.3093282177578658e-05,-5.057223303323033e-12,-0.09000007808208466,0.08100040256977081,0.09032034873962402,-0.08223617821931839,-2.6057409741042648e-06,-0.008716831915080547,-0.002201175782829523,-9.821695857681334e-05,-7.219813414849341e-05,-1.1460045357125637e-07,-1.5000008344650269,1.498595952987671,1.5000007152557373,-1.5015051364898682,0.0007503785891458392,-0.5916177034378052,0.0427103154361248,0.004496424458920956,0.0020985580049455166,0.0,-1.4999866485595703,2.0694141387939453,0.0,0.0,0.08432912826538086
4,close,-1.0,-2.4073815438896418e-06,0.008846062235534191,0.0006035421974956989,1.5699758529663086,-1.344556403637398e-05,2.1270164449194162e-11,-0.11958768218755722,0.1110188439488411,0.12000017613172531,-0.11266590654850006,-0.0003207567788194865,-0.014157425612211227,-0.002503289608284831,-0.00023716455325484276,-0.0013027150416746736,-5.157399300514953e-06,-1.4720038175582886,1.4693262577056885,1.4719985723495483,-1.472003698348999,0.006486269645392895,-0.5869139432907104,0.041580408811569214,0.005540806800127029,0.007845106534659863,0.0,0.17838096618652344,0.4157886505126953,0.0,0.0,0.08200730383396149
5,close,-1.0,-1.4897923392709345e-06,0.010788170620799065,0.0007250916678458452,1.5699715614318848,-1.126342158386251e-05,5.033698111112095e-11,-0.14754021167755127,0.141037255525589,0.14803877472877502,-0.14299386739730835,-0.000790393736679107,-0.019345037639141083,-0.0027730739675462246,-0.00044240622082725167,-0.003139832755550742,-1.0357856808695942e-05,-1.4297057390213013,1.4277582168579102,1.4296953678131104,-1.4297056198120117,0.04515617713332176,-0.5799983739852905,0.03895966708660126,0.012384104542434216,0.04523685202002525,0.0,1.0379104614257812,-0.5255012512207031,0.0,0.0,0.07973470538854599
6,close,-1.0,5.435729377722964e-08,0.012630484066903591,0.0008362001972272992,1.5699681043624878,-6.379809747159015e-06,9.212157425775302e-11,-0.17386634647846222,0.17105542123317719,0.17444534599781036,-0.17311382293701172,-0.0012299026129767299,-0.024261530488729477,-0.003023463999852538,-0.0006296415813267231,-0.004904238507151604,-1.3191648577048909e-05,-1.3895841836929321,1.388907790184021,1.389570951461792,-1.3895841836929321,0.08126810193061829,-0.5732929706573486,0.036693863570690155,0.018584582954645157,0.081084705889225,0.0,1.8416194915771484,-1.5228652954101562,0.0,0.0,0.07751397043466568
7,close,-1.0,2.2329975308821304e-06,0.014378216117620468,0.0009376945672556758,1.5699652433395386,1.4091017419559648e-06,7.714141825321263e-11,-0.19866076111793518,0.20106565952301025,0.19931486248970032,-0.20292434096336365,-0.001640191301703453,-0.028921129181981087,-0.0032583812717348337,-0.0007954115862958133,-0.006593385711312294,-1.3975769434182439e-05,-1.3515321016311646,1.3525948524475098,1.351518154144287,-1.351531982421875,0.11487746238708496,-0.5672286748886108,0.03485575318336487,0.02413816936314106,0.11530942469835281,0.0,2.5,-2.5,0.0,0.0,0.07534431666135788
8,close,-1.0,5.043630608270178e-06,0.01603630743920803,0.001030357088893652,1.5699635744094849,1.2259642062417697e-05,8.107604171359029e-11,-0.22201251983642578,0.2310033142566681,0.22273677587509155,-0.23228268325328827,-0.002020623069256544,-0.03333653137087822,-0.003479328937828541,-0.0009403543663211167,-0.008197114802896976,-1.2947924005857203e-05,-1.3148351907730103,1.3180193901062012,1.3148223161697388,-1.3148351907730103,0.14606942236423492,-0.5617709159851074,0.03345789760351181,0.02896912209689617,0.14786691963672638,0.0,2.5,-2.5,0.0,0.0,0.0732271671295166
9,close,-1.0,8.296196028823033e-06,0.01760946772992611,0.0011148953344672918,1.5699623823165894,2.565913564467337e-05,8.702721182585194e-11,-0.24400560557842255,0.26041603088378906,0.24479526281356812,-0.2606811225414276,-0.002172143431380391,-0.03750184550881386,-0.0037087411619722843,-0.0009755667415447533,-0.008892906829714775,-9.537970072415192e-06,-1.2615553140640259,1.2670825719833374,1.2615457773208618,-1.2615553140640259,0.17390525341033936,-0.5571017265319824,0.03259921073913574,0.03298965096473694,0.17755641043186188,0.0,2.5,-2.5,0.0,0.0,0.07117918878793716
10,close,-1.0,1.0981080777128227e-05,0.01910209469497204,0.0011919396929442883,1.5699611902236938,3.7843448808416724e-05,-1.075349791851421e-11,-0.2647188901901245,0.28729161620140076,0.26556962728500366,-0.28613048791885376,-0.0015255253529176116,-0.04139259085059166,-0.00398270646110177,-0.0006651604198850691,-0.006315149366855621,-3.867262876156019e-06,-1.1422334909439087,1.1497222185134888,1.1422295570373535,-1.1422334909439087,0.15050607919692993,-0.5561542510986328,0.03453376889228821,0.028346983715891838,0.15527305006980896,0.0,2.5,-2.5,0.0,0.0,0.06927967816591263
