step,phase,raw_grip_cmd,jpos_shoulder_pan,jpos_shoulder_lift,jpos_elbow_flex,jpos_wrist_flex,jpos_wrist_roll,jpos_gripper,jpos_left_proximal,jpos_right_proximal,jpos_left_distal,jpos_right_distal,jvel_shoulder_pan,jvel_shoulder_lift,jvel_elbow_flex,jvel_wrist_flex,jvel_wrist_roll,jvel_gripper,jvel_left_proximal,jvel_right_proximal,jvel_left_distal,jvel_right_distal,jtorque_shoulder_pan,jtorque_shoulder_lift,jtorque_elbow_flex,jtorque_wrist_flex,jtorque_wrist_roll,jtorque_gripper,jtorque_left_proximal,jtorque_right_proximal,jtorque_left_distal,jtorque_right_distal,tip_distance
0,close,-1.0,0.0,0.0,0.0,1.5700000524520874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.09088798612356186
1,close,-1.0,-2.549493274273118e-06,0.002365660388022661,0.00016802630852907896,1.56999671459198,-1.0235673471470363e-05,-9.096882969128472e-12,-0.029999149963259697,0.020959874615073204,0.029660126194357872,-0.021009165793657303,5.843086455570301e-06,0.0030073963571339846,-0.001409099786542356,-0.0001403771893819794,-4.543737668427639e-05,3.691765471103281e-08,-1.4999706745147705,1.4999644756317139,1.4999706745147705,-1.4999706745147705,-0.32893678545951843,-0.6082016825675964,0.06289611756801605,-0.05715309828519821,-0.2991311848163605,0.0,-2.5,2.5,-2.33473539352417,2.2912545204162598,0.08895090967416763
2,close,-1.0,-2.621989096951438e-06,0.004640744533389807,0.00032597401877865195,1.5699886083602905,-1.1714404536178336e-05,-8.35601206283787e-12,-0.059998299926519394,0.05097833648324013,0.059337273240089417,-0.05098371207714081,5.7875308812072035e-06,-0.002996093826368451,-0.0018267456907778978,-0.00011401309893699363,-4.315066689741798e-05,3.527387804069804e-08,-1.499967098236084,1.499961018562317,1.499967098236084,-1.499967098236084,4.971324233338237e-05,-0.5967631936073303,0.043257419019937515,0.004406430758535862,0.0014350456185638905,0.0,-2.5,2.5,-2.5,2.5,0.08664985746145248
3,close,-1.0,-2.694334398256615e-06,0.006798822898417711,0.0004707735206466168,1.5699816942214966,-1.3187374861445278e-05,1.7319362090317814e-12,-0.08999739587306976,0.08099532127380371,0.08903318643569946,-0.08095690608024597,5.699227585864719e-06,-0.008715935051441193,-0.0022055560257285833,-9.074406989384443e-05,-4.081941006006673e-05,3.140687709901613e-08,-1.4999630451202393,1.4999569654464722,1.4999630451202393,-1.4999631643295288,7.246641325764358e-05,-0.5916790962219238,0.042920779436826706,0.004256035201251507,0.001462364918552339,0.0,-1.5008201599121094,2.0415897369384766,-2.5,2.5,0.08432944864034653
4,close,-1.0,-2.4502642190782353e-06,0.008846060372889042,0.0006035544211044908,1.5699758529663086,-1.3607666915049776e-05,2.8100617319171128e-11,-0.1195845678448677,0.11101171374320984,0.1185028925538063,-0.11092960834503174,-0.0003052178071811795,-0.014156628400087357,-0.0025043219793587923,-0.0002307957474840805,-0.0012431853683665395,-4.981875008525094e-06,-1.4706223011016846,1.4706162214279175,1.4706172943115234,-1.4706223011016846,0.005184711888432503,-0.586998462677002,0.041663818061351776,0.00532296160236001,0.006606407929211855,0.0,0.14905548095703125,0.3888969421386719,-2.5,2.5,0.08200767636299133
5,close,-1.0,-1.5533723853877746e-06,0.010788165032863617,0.0007251070346683264,1.5699715614318848,-1.1506185728649143e-05,3.820766966700084e-11,-0.1475372463464737,0.14102838933467865,0.14663854241371155,-0.14090000092983246,-0.0007790290401317179,-0.019344456493854523,-0.002773777348920703,-0.00043814198579639196,-0.0030957383569329977,-1.0267598554491997e-05,-1.4287000894546509,1.4286949634552002,1.4286898374557495,-1.4287000894546509,0.04405698552727699,-0.5800502300262451,0.03899936378002167,0.012221744284033775,0.04417714849114418,0.0,1.01312255859375,-0.5479888916015625,-2.5,2.5,0.0797351822257042
6,close,-1.0,-2.3561614881373316e-08,0.012630477547645569,0.0008362159715034068,1.5699681043624878,-6.679616035398794e-06,8.210528090746294e-11,-0.17386357486248016,0.17104540765285492,0.17313584685325623,-0.1708603799343109,-0.0012259098002687097,-0.02426140382885933,-0.003023632802069187,-0.000628454377874732,-0.004888582043349743,-1.3175509593565948e-05,-1.389232873916626,1.3892300128936768,1.3892197608947754,-1.389232873916626,0.08063818514347076,-0.5733205080032349,0.036710917949676514,0.018496930599212646,0.08046988397836685,0.0,1.8272380828857422,-1.535501480102539,-2.5,2.5,0.07751448452472687
7,close,-1.0,2.1510782062250655e-06,0.01437821052968502,0.0009377122041769326,1.5699652433395386,1.0923295121756382e-06,7.32467905772971e-11,-0.19865812361240387,0.2010553777217865,0.19809021055698395,-0.2007606029510498,-0.001644604024477303,-0.02892153710126877,-0.0032578434329479933,-0.0007974169566296041,-0.006610964424908161,-1.4008800462761428e-05,-1.3519200086593628,1.3522143363952637,1.3519059419631958,-1.3519198894500732,0.11495538800954819,-0.5672141313552856,0.034834280610084534,0.024158097803592682,0.11538637429475784,0.0,2.5,-2.5,-2.5,2.5,0.07534483820199966
8,close,-1.0,4.96547272632597e-06,0.016036301851272583,0.0010303726885467768,1.5699635744094849,1.1956781236222014e-05,8.726545874804259e-11,-0.2220100462436676,0.23099243640899658,0.22159142792224884,-0.23026543855667114,-0.002025066642090678,-0.033336933702230453,-0.003479065839201212,-0.0009423491428606212,-0.008215107955038548,-1.2970783245691564e-05,-1.3152403831481934,1.3176687955856323,1.3152273893356323,-1.3152403831481934,0.14644350111484528,-0.5617389678955078,0.03343580663204193,0.02903144247829914,0.1482410579919815,0.0,2.5,-2.5,-2.5,2.5,0.07322770357131958
9,close,-1.0,8.222241376643069e-06,0.01760946214199066,0.0011149091878905892,1.5699623823165894,2.5371802621521056e-05,8.897824838038915e-11,-0.2440032809972763,0.2604037821292877,0.24372416734695435,-0.2587999403476715,-0.002176585141569376,-0.03750229999423027,-0.0037082729395478964,-0.0009775909129530191,-0.008911135606467724,-9.551124094286934e-06,-1.2619588375091553,1.266780972480774,1.2619493007659912,-1.2619588375091553,0.1742851585149765,-0.5570769309997559,0.03258389234542847,0.033049147576093674,0.17794285714626312,0.0,2.5,-2.5,-2.5,2.5,0.07117975503206253
