 iter |  succ% |  ee<5cm% |  ee<2cm% |  ee_min |  close% |  clos_d
----------------------------------------------------------------------
    0 |   14.0 |      2.0 |      0.0 |  0.1230 |    86.0 |  0.1440
  100 |   15.0 |      1.0 |      0.0 |  0.1593 |   100.0 |  0.1702
  150 |   14.0 |      1.0 |      0.0 |  0.1539 |   100.0 |  0.1959
  200 |   14.0 |     31.0 |      0.0 |  0.0678 |   100.0 |  0.2123
  250 |   14.0 |      3.0 |      0.0 |  0.1518 |   100.0 |  0.1992
  300 |   14.0 |      2.0 |      0.0 |  0.1611 |   100.0 |  0.1873
  400 |   12.0 |     26.0 |      2.0 |  0.0848 |   100.0 |  0.1927
  500 |   14.0 |      3.0 |      0.0 |  0.1415 |     2.0 |  0.2787
  999 |   13.0 |      2.0 |      0.0 |  0.1443 |     0.0 |     nan
