src                            |  succ% |  ee<5cm% |  ee<2cm% |  ee_min |  close% |  clos_d |  cube_v
----------------------------------------------------------------------------------------------------
s13 Oracle                     |   15.0 |     86.0 |      0.0 |  0.0461 |    98.0 |  0.0475 |  0.0160
s13 BC                         |   14.0 |      2.0 |      0.0 |  0.1393 |     9.0 |  0.0976 |  0.0003
s13 PPO best                   |   13.0 |      1.0 |      0.0 |  0.0836 |   100.0 |  0.1441 |  0.3366
s14 iter200 (sweet)            |   14.0 |     31.0 |      0.0 |  0.0678 |   100.0 |  0.2123 |  0.1558
s14 iter999 (final)            |   13.0 |      2.0 |      0.0 |  0.1443 |     0.0 |     nan |     nan
s15 iter0                      |   14.0 |      2.0 |      0.0 |  0.1664 |     0.0 |     nan |     nan
s15 iter50                     |   15.0 |      1.0 |      0.0 |  0.1168 |    99.0 |  0.3106 |  0.0003
s15 iter100                    |   15.0 |     21.0 |      0.0 |  0.0885 |   100.0 |  0.1784 |  0.5379
s15 iter150                    |   14.0 |      3.0 |      0.0 |  0.1113 |   100.0 |  0.1760 |  0.4643
s15 iter199                    |   14.0 |      2.0 |      0.0 |  0.1065 |   100.0 |  0.1616 |  0.2077
